"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_9328","","Glucokinase","76","93","0","60","100.0","39.21568627450981","inf","2.786257789837725e-13","3.0963682818466637e-09","5.3663228454881516e-12","1","1","0","1.0","1.0"
"group_8013","","PTS EIIB type-2 domain-containing protein","76","93","0","60","100.0","39.21568627450981","inf","2.786257789837725e-13","3.0963682818466637e-09","5.3663228454881516e-12","1","1","0","1.0","1.0"
"group_7628","","Ketose-bisphosphate aldolase","76","93","0","60","100.0","39.21568627450981","inf","2.786257789837725e-13","3.0963682818466637e-09","5.3663228454881516e-12","1","1","0","1.0","1.0"
"group_6504","","Ascorbate-specific PTS system EIIA component","76","93","0","60","100.0","39.21568627450981","inf","2.786257789837725e-13","3.0963682818466637e-09","5.3663228454881516e-12","1","1","0","1.0","1.0"
"zapA","zapA","Cell division protein ZapA","76","93","0","60","100.0","39.21568627450981","inf","2.786257789837725e-13","3.0963682818466637e-09","5.3663228454881516e-12","1","1","0","1.0","1.0"
"group_1224",";traC","DNA primase;DNA primase/nucleoside triphosphatase C-terminal domain-containing protein;Bacteriophage P4 DNA primase;Uncharacterized protein conserved in bacteria;hypothetical protein;SF3 helicase domain-containing protein;DNA primase TraC","0","60","76","93","0.0","60.78431372549019","0.0","2.786257789837725e-13","3.0963682818466637e-09","5.3663228454881516e-12","1","0","1","1.0","1.0"
"group_9638","","Cysteine--tRNA ligase;hypothetical protein","72","75","4","78","94.73684210526315","50.98039215686274","18.72","3.044024695413653e-13","3.382824644013193e-09","5.8425296096946334e-12","2","2","1","0.5","1.0"
"korC","korC","KorC","72","75","4","78","94.73684210526315","50.98039215686274","18.72","3.044024695413653e-13","3.382824644013193e-09","5.8425296096946334e-12","2","2","1","0.5","1.0"
"group_9486","","Transposase;hypothetical protein","70","68","6","85","92.10526315789474","55.55555555555556","14.583333333333334","3.2584826988587996e-13","3.621151823241784e-09","6.232619317111505e-12","3","3","1","0.25","1.0"
"group_1565","","Transposase for transposon Tn21;DNA-binding protein;Tn3-like element TnAs3 family transposase","70","68","6","85","92.10526315789474","55.55555555555556","14.583333333333334","3.2584826988587996e-13","3.621151823241784e-09","6.232619317111505e-12","3","2","2","1.0","1.0"
"group_6639","cobW","Cobalamin biosynthesis protein CobW","39","12","37","141","51.31578947368421","92.15686274509804","12.385135135135135","4.604854181528403e-13","5.117374451932514e-09","8.792739608131467e-12","3","3","1","0.25","1.0"
"group_10394","","hypothetical protein","66","58","10","95","86.8421052631579","62.091503267973856","10.810344827586206","4.972979331760192e-13","5.526471931385101e-09","9.47936866446844e-12","3","2","2","1.0","1.0"
"group_9627","","hypothetical protein;peptidylprolyl isomerase","5","81","71","72","6.578947368421052","47.05882352941176","0.06259780907668232","5.189595337370216e-13","5.7671972984195205e-09","9.875337839759453e-12","3","3","0","0.25","0.25"
"group_10126","tnp;","IS3 family ISEch12 transposase ORF A;HTH-like domain-containing protein;hypothetical protein;Integrase","75","88","1","65","98.68421052631578","42.48366013071895","55.39772727272727","5.838336846246679e-13","6.488143737233935e-09","1.1071917640330947e-11","2","1","1","1.0","1.0"
"group_5765","","hypothetical protein","75","88","1","65","98.68421052631578","42.48366013071895","55.39772727272727","5.838336846246679e-13","6.488143737233935e-09","1.1071917640330947e-11","2","1","1","1.0","1.0"
"group_7096","","PTS N N'-diacetylchitobiose transporter subunit IIA","76","94","0","59","100.0","38.56209150326798","inf","6.214096539392486e-13","6.90572548422687e-09","1.1724491484256146e-11","1","1","0","1.0","1.0"
"group_9021","","Inner membrane protein","0","59","76","94","0.0","61.43790849673203","0.0","6.214096539392486e-13","6.90572548422687e-09","1.1724491484256146e-11","1","0","1","1.0","1.0"
"group_83","","Inner membrane protein","0","59","76","94","0.0","61.43790849673203","0.0","6.214096539392486e-13","6.90572548422687e-09","1.1724491484256146e-11","1","0","1","1.0","1.0"
"group_5427","","Plasmid transfer protein","71","73","5","80","93.42105263157895","52.28758169934641","15.561643835616438","6.647637604743717e-13","7.3875196701516935e-09","1.2500033282828584e-11","3","2","2","1.0","1.0"
"repB","repB;","Initiator replication protein RepB;hypothetical protein","71","73","5","80","93.42105263157895","52.28758169934641","15.561643835616438","6.647637604743717e-13","7.3875196701516935e-09","1.2500033282828584e-11","3","2","2","1.0","1.0"
"group_7866","","Holin","72","76","4","77","94.73684210526315","50.326797385620914","18.236842105263158","7.143027969032229e-13","7.938046981985516e-09","1.3408863145245805e-11","3","3","1","0.25","1.0"
"group_8576","","hypothetical protein","23","0","53","153","30.263157894736842","100.0","inf","7.321997778451166e-13","8.13693613119278e-09","1.3698545675408721e-11","3","3","0","0.25","0.25"
